ID,Customer Age (in months),"Churn (1 = Yes, 0 = No)",CHI Score Month 0,CHI Score 0-1,Support Cases Month 0,Support Cases 0-1,SP Month 0,SP 0-1,Logins 0-1,Blog Articles 0-1,Views 0-1, Days Since Last Login 0-1
33,52, -   ,160,10,3,3,3,3,12, -   ,481,4
34,52, -   ,91,50,4,1,3, -   ,26, -   , -   ,-11
35,52, -   ,105,1, -   , -   , -   , -   ,14,1, -   , -   
36,52, -   ,93,-29, -   , -   , -   , -   ,-7,1,"4,682.00", -   
37,51, -   ,143,-32,4,1,2.5,0.2,61,-1,67, -   
38,50, -   ,108,40,1,1,3,3,43, -   ,16, -   
39,52, -   ,168,-5,8,-3,3, -   ,62,2,589,-31
40,52, -   ,186,-4,2,1,2.5,-0.5,86,-3,"2,139.00",4
41,52, -   ,75, -   , -   , -   , -   , -   ,8, -   , -   , -   
42,51, -   ,25, -   , -   , -   , -   , -   , -   , -   , -   ,31
43,49, -   ,124,34, -   , -   , -   , -   ,10, -   ,-188,31
44,43, -   ,147,-7,1,1,3,3,-25,-2,138,-1
45,51, -   ,134,1,3,2,3, -   ,10, -   , -   , -   
46,51, -   ,77,-1, -   , -   , -   , -   ,-1, -   ,-81,-6
47,48, -   ,57,-2, -   , -   , -   , -   , -   , -   ,"2,379.00",31
48,50, -   ,115, -   , -   , -   , -   , -   , -   , -   ,-300,31
49,44, -   ,51,-1,1,-1,3, -   ,-12, -   , -   ,-133
50,49, -   ,85, -   , -   , -   , -   , -   ,1, -   , -   ,-12
51,49, -   ,1, -   , -   , -   , -   , -   , -   , -   , -   ,31
52,45, -   ,87,-3,1,1,3,3,9, -   , -   ,-143
53,49, -   ,210,2,2,-3,2.5,-0.5,181,-3,724, -   
54,47,1,122,2,3,-6,3, -   ,-31, -   ,122, -   
55,48, -   ,3, -   , -   , -   , -   , -   , -   , -   , -   ,30
56,49, -   ,179,14,1,1,3,3,54,-1,-124,-1
57,49, -   , -   ,-21, -   , -   , -   , -   ,-8, -   , -   ,4
58,35, -   ,152, -   , -   , -   , -   , -   ,-13, -   ,82, -   
59,46, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
60,47,1, -   ,-26, -   , -   , -   , -   ,-7, -   , -   ,-53
61,47, -   ,7,7, -   , -   , -   , -   ,4, -   , -   ,31
62,48, -   ,14,14, -   , -   , -   , -   ,4, -   ,-5,31
63,47, -   ,53,-27, -   , -   , -   , -   ,-4, -   ,41,4
64,48, -   ,39,-52, -   , -   , -   , -   ,-1, -   ,33,-5
65,48, -   ,103,4, -   ,-3, -   ,-3,14, -   ,-9, -   
66,13,1,122,31,6,4,3, -   ,94,4,-1,-9
67,48, -   ,109,50, -   ,-1, -   ,-2,2,1,-221,13
68,43, -   , -   , -   ,1,1,2,2, -   , -   , -   ,31
69,46, -   ,10,10, -   , -   , -   , -   ,10, -   , -   ,31
70,47, -   ,145,10, -   , -   , -   , -   ,38, -   ,"-5,083.00", -   
71,48, -   ,108,33, -   , -   , -   , -   ,6, -   ,993,31
72,45, -   ,45, -   , -   , -   , -   , -   ,7, -   ,-13,3
73,47, -   ,193, -   , -   , -   , -   , -   ,47,1,83,-1
74,47, -   ,101,39, -   , -   , -   , -   ,24,1,-2,2
75,47, -   ,17,-10, -   , -   , -   , -   ,-4, -   ,2,-10
76,45, -   ,1,-70, -   , -   , -   , -   ,-7,-1, -   ,3
77,46, -   ,158,2, -   ,-1, -   ,-3,5,-4,12,3
78,38, -   ,198,-15, -   , -   , -   , -   ,21, -   ,-172, -   
79,38, -   ,77,-2, -   , -   , -   , -   ,-3, -   ,716,-1
80,47, -   ,82, -   , -   , -   , -   , -   ,11, -   , -   ,3
81,46, -   ,94,10,1,1,3,3,42, -   ,-63,-24
82,28, -   ,152,-4, -   , -   , -   , -   ,19, -   ,9,-2
83,46, -   ,125,15,1,1,3,3,11, -   ,-100,3
84,47, -   ,35, -   , -   , -   , -   , -   , -   , -   , -   ,9
85,43, -   ,166,-1, -   , -   , -   , -   ,10,-1,"1,304.00",-1
86,46, -   ,61,-11,1,1,3,3,10, -   ,-35,15
87,42, -   ,97,2, -   ,-1, -   ,-3,-28, -   , -   , -   
88,46, -   ,74, -   , -   , -   , -   , -   ,1, -   , -   ,-3
89,46, -   ,4,4,1,1,2,2,10, -   , -   ,31
90,46, -   ,145, -   , -   , -   , -   , -   ,98, -   ,629, -   
91,45, -   ,75,-17, -   , -   , -   , -   ,-1,-1, -   ,-3
92,46, -   ,79,13, -   , -   , -   , -   ,-4, -   ,4,-22
93,46, -   ,175,10, -   , -   , -   , -   ,22, -   ,"-1,419.00", -   
94,44,1, -   ,-12, -   , -   , -   , -   ,-1, -   , -   ,-90
95,46, -   ,6,6, -   , -   , -   , -   ,10, -   , -   ,31
96,46, -   ,85,-36, -   , -   , -   , -   ,2,-1,-37,-4
97,45, -   ,59,41, -   , -   , -   , -   , -   , -   ,-57,31
98,46, -   ,109,-13, -   , -   , -   , -   ,1,-2,158,-9
99,44, -   ,87,45, -   , -   , -   , -   ,10,1,-4,30
100,45, -   ,161,-10, -   , -   , -   , -   ,-10,-4,71, -   
101,41, -   , -   , -   , -   , -   , -   , -   , -   , -   ,5,31
102,45, -   ,169,-8,9,-5,3, -   ,54, -   ,345, -   
103,44, -   ,88,22, -   ,-1, -   ,-3,30, -   ,-5,2
104,28, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
105,42,1,26,-13, -   , -   , -   , -   , -   , -   ,16,-5
106,38, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,30
107,45, -   ,155,-6, -   , -   , -   , -   ,-1,-4,127, -   
108,45, -   ,71,-11, -   , -   , -   , -   ,-15,-1, -   , -   
109,40, -   , -   ,-125, -   , -   , -   , -   ,-8, -   ,-216,6
110,44, -   , -   ,-6, -   , -   , -   , -   ,-10, -   , -   ,-72
111,29, -   ,103,-8, -   , -   , -   , -   ,3,3,15,-70
112,45, -   ,39,23, -   , -   , -   , -   ,2, -   , -   ,31
113,43, -   ,42,10, -   , -   , -   , -   ,6, -   ,-6,30
114,45, -   ,73,-6, -   , -   , -   , -   ,6, -   ,-1,-24
115,45, -   ,58,38, -   , -   , -   , -   ,6, -   ,-20,5
116,45, -   ,68,-7,1,1, -   , -   ,22, -   ,-7,31
117,45, -   ,89,-5, -   ,-2, -   ,-3,-61, -   ,"1,013.00", -   
118,45, -   ,138,4, -   , -   , -   , -   ,-8, -   ,534,-29
119,42, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
120,45, -   ,90, -   , -   , -   , -   , -   ,7, -   ,-73, -   
121,45, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
122,43, -   ,48,-11, -   , -   , -   , -   ,-3, -   , -   ,3
123,44, -   ,10,-25, -   ,-1, -   ,-2,-4, -   ,-5,18
124,44, -   ,106, -   , -   , -   , -   , -   ,7, -   ,30,4
125,44, -   ,128,35, -   ,-3, -   ,-3,-7,1, -   ,-15
126,45, -   ,90,-5, -   , -   , -   , -   ,21, -   ,-39,2
127,45, -   ,47,-21, -   , -   , -   , -   ,-12, -   , -   ,3
128,41, -   ,31,-26, -   , -   , -   , -   , -   , -   ,-32,31
129,45, -   ,191,-1, -   , -   , -   , -   ,12,-1,-28, -   
130,45, -   ,45,10, -   , -   , -   , -   ,9, -   , -   ,2
131,45, -   ,121,90,1,1,3,3,184,4,17,-7
132,44, -   ,76,32, -   , -   , -   , -   ,18, -   ,2,31
133,44, -   ,50,25, -   , -   , -   , -   ,4, -   ,100,-187
134,43, -   ,101,84, -   , -   , -   , -   ,6,1,38,30
135,44, -   ,74,-38, -   , -   , -   , -   , -   ,-2,243, -   
136,44, -   ,105,-5, -   , -   , -   , -   ,1, -   ,669,18
137,44, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
138,41, -   ,60, -   , -   , -   , -   , -   , -   , -   , -   ,30
139,44, -   ,55,-73,2,-1,3, -   ,-39,-3,-45,-1
140,43, -   ,91,-50, -   ,-3, -   ,-3,-18,-2,"2,034.00",-4
141,45, -   ,19,-1, -   , -   , -   , -   ,11, -   , -   ,-3
142,43, -   ,15,-27, -   , -   , -   , -   ,-2, -   , -   ,11
143,44, -   ,59, -   , -   , -   , -   , -   ,14,1, -   , -   
144,43, -   ,70,-6, -   , -   , -   , -   ,-4,-3, -   ,1
145,44, -   ,180,2, -   , -   , -   , -   ,36,5,"-1,698.00", -   
146,42, -   , -   ,-2, -   , -   , -   , -   , -   , -   , -   ,30
147,43, -   ,38,-11, -   , -   , -   , -   , -   , -   ,6, -   
148,42, -   ,116,-1, -   , -   , -   , -   ,12, -   ,-61,31
149,44, -   ,95,-15, -   , -   , -   , -   ,-11, -   ,6,10
150,44, -   ,181,-2, -   , -   , -   , -   ,20,-1,"1,544.00", -   
151,43, -   ,90,10, -   , -   , -   , -   ,16, -   , -   , -   
152,40, -   ,120,2,1,1,2,2,35, -   ,35,3
153,38,1,116,1,1, -   ,3, -   ,41,1, -   ,-26
154,43, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-3,31
155,43, -   ,193,15,3,1,3,0.5,9,1,"-7,657.00", -   
156,41,1,8, -   , -   , -   , -   , -   , -   , -   , -   ,31
157,43, -   ,105, -   , -   , -   , -   , -   ,-4, -   , -   ,-2
158,42, -   ,33,-12, -   , -   , -   , -   ,2, -   ,1,5
159,43, -   ,93,-20, -   , -   , -   , -   ,-4, -   ,"-3,745.00",-4
160,42, -   ,80,8, -   , -   , -   , -   , -   , -   ,-16,21
161,42, -   ,81, -   , -   , -   , -   , -   ,-2, -   ,2,-3
162,43, -   ,172,37, -   , -   , -   , -   ,11,2,"3,460.00",2
163,42, -   ,36,-4, -   , -   , -   , -   ,-1, -   ,-3,27
164,43, -   ,188, -   , -   ,-1, -   ,-3,5, -   ,"1,708.00", -   
165,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
166,43, -   ,51,-35, -   , -   , -   , -   ,-5, -   , -   ,-89
167,43, -   ,83,-61, -   , -   , -   , -   ,8, -   ,-3,-2
168,42, -   ,88,-7, -   , -   , -   , -   ,-10, -   ,"-2,611.00",1
169,42, -   ,40, -   , -   , -   , -   , -   ,1, -   ,-3,-23
170,43, -   ,68,-1, -   , -   , -   , -   ,3, -   , -   ,-67
171,42, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
172,43, -   ,136,9, -   , -   , -   , -   ,21, -   ,-200,-5
173,43, -   ,171,47,3,3,3,3,85, -   ,3, -   
174,42, -   ,63,20, -   , -   , -   , -   ,4, -   , -   ,31
175,43, -   ,63,24, -   , -   , -   , -   , -   , -   , -   ,31
176,43, -   ,122,-44, -   ,-1, -   ,-3,-3,-3,705,-4
177,42, -   ,60, -   ,1,1,3,3,30, -   , -   , -   
178,42, -   ,76,-8, -   , -   , -   , -   ,12, -   ,"1,580.00",31
179,42, -   ,44,-11, -   , -   , -   , -   ,-3, -   , -   ,-1
180,42, -   ,114,18,1, -   ,3, -   ,33,6, -   ,4
181,42, -   ,69,69, -   , -   , -   , -   ,6, -   , -   ,31
182,42, -   ,85, -   , -   , -   , -   , -   ,25, -   , -   ,-3
183,42, -   , -   ,-17, -   , -   , -   , -   ,-1, -   , -   ,25
184,42, -   ,131,-2, -   , -   , -   , -   ,2, -   ,489,31
185,41, -   ,60,29, -   , -   , -   , -   ,4, -   ,-285,10
186,42, -   ,189,2,2,2,3,3,32,2,-145, -   
187,42, -   ,178,-1,1, -   ,3, -   ,21,-1,104, -   
188,42, -   ,105,5, -   , -   , -   , -   ,-9, -   , -   , -   
189,42, -   ,148,-14,1, -   ,2,-1,28,2,723, -   
190,42, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,31
191,41, -   ,104,-10, -   , -   , -   , -   ,6, -   ,2, -   
192,42, -   ,44,-25, -   , -   , -   , -   ,-2, -   , -   ,-95
193,42, -   ,118,79, -   , -   , -   , -   ,11, -   , -   ,18
194,42, -   ,16,10,2,2,3,3,19, -   , -   ,-92
195,42, -   ,183,31,5,3,3, -   ,82,-4,124, -   
196,42, -   ,120,-10, -   , -   , -   , -   ,5, -   ,-166, -   
197,40, -   ,107,-7,1,1,3,3,-33,-4,-22,-3
198,40, -   ,165,30,2,2,3,3,52, -   ,-28,1
199,41, -   ,130,18, -   , -   , -   , -   ,13,-2,-380, -   
200,40,1,130, -   ,1,1,3,3,-7, -   ,-87,4
201,41, -   ,145,18,4,3,3, -   ,15, -   ,33,-3
202,40, -   ,115,10, -   , -   , -   , -   ,16,1,5,-3
203,39, -   ,15,-4, -   , -   , -   , -   , -   , -   ,-14,31
204,36,1,105,-1, -   , -   , -   , -   ,26, -   ,-61,-1
205,40, -   ,73,50, -   , -   , -   , -   ,10, -   ,"1,300.00",31
206,13, -   ,121,-15, -   , -   , -   , -   ,1,-1,266, -   
207,13, -   ,3, -   ,2,1,3,3,19, -   , -   ,-16
208,7, -   ,141,22,2,1,3, -   ,70, -   ,72,-3
209,14, -   ,165,67,2,1,3, -   ,97,15,-1,-9
210,14, -   ,36,-44, -   ,-1, -   ,-3,6, -   ,150,2
211,12,1,143,37, -   , -   , -   , -   ,50,3,18,28
212,14, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,30
213,14, -   ,124,-6, -   , -   , -   , -   ,-7, -   ,28,7
214,14, -   ,150,50, -   , -   , -   , -   ,-13,2,76, -   
215,14, -   ,109,-3, -   , -   , -   , -   ,2, -   ,463,9
216,13, -   ,118,-1,1,1,3,3,41,-2,5, -   
217,12, -   ,215,8,2,1,3,1,17,-4,"4,914.00", -   
218,14, -   ,150,-44, -   , -   , -   , -   ,-1,-4,"14,868.00",-16
219,11, -   ,158,32, -   , -   , -   , -   ,33, -   ,-41, -   
220,11, -   ,87,20, -   , -   , -   , -   ,27, -   ,-76, -   
221,14, -   ,173,9,1,-1,3, -   ,27, -   ,-785, -   
222,12, -   ,119,-16, -   , -   , -   , -   ,45,2,-301, -   
223,13, -   ,167,10, -   , -   , -   , -   ,10, -   ,29,-3
224,14, -   ,115,16, -   , -   , -   , -   ,-8, -   ,-11,7
225,13, -   ,165,77, -   ,-1, -   ,-3,42, -   ,-117,-4
226,14, -   ,59,-11, -   , -   , -   , -   ,72, -   ,-11,-2
227,13,1, -   , -   , -   , -   , -   , -   , -   , -   ,-1,31
228,14, -   ,5,-21, -   , -   , -   , -   ,-1, -   ,-711,15
229,14, -   ,162,53, -   , -   , -   , -   ,-23,-2,4,-18
230,14, -   ,174,-3, -   ,-3, -   ,-3,30,-2,26, -   
231,14, -   ,192,8,1, -   ,3,-1,84,-1,-5, -   
232,14, -   ,162,5,2,-2,3, -   ,-1, -   ,224,4
233,14, -   ,172,-3,1,-2,3, -   ,39, -   ,-229, -   
234,14, -   ,167,-7,1,1,3,3,39,-7,-436, -   
235,8, -   ,129,-9, -   ,-1, -   ,-3,61, -   ,182,-2
236,14, -   ,78,-6, -   , -   , -   , -   ,9, -   ,9, -   
237,14, -   ,53,27, -   , -   , -   , -   , -   , -   ,-13,7
238,14, -   ,75,9, -   , -   , -   , -   ,13, -   ,-8,29
239,14,1,26,-1, -   , -   , -   , -   ,4, -   ,-10,-3
240,13, -   , -   ,-22, -   , -   , -   , -   , -   , -   ,-4,30
241,13, -   ,120,-44, -   , -   , -   , -   ,49,-1,-99, -   
242,12, -   ,178,-33,5,-1,3, -   ,1,-2,-114,-1
243,13, -   ,188,1, -   ,-1, -   ,-3,8,-1,-41,-8
244,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
245,14, -   ,133, -   ,2,2,3,3,39, -   ,-45,3
246,13, -   ,35,-81, -   , -   , -   , -   ,-12,-2,8,7
247,12, -   ,113,-2, -   ,-1, -   ,-3,3,1,-11,-1
248,13, -   ,171,-21, -   , -   , -   , -   ,54,-3,"1,091.00",-1
249,10, -   ,71, -   ,1, -   ,3, -   ,6, -   ,10,-1
250,14, -   ,165,30, -   ,-1, -   ,-3,41,2,-54,-2
251,14, -   ,93,-27, -   ,-2, -   ,-3,-37, -   ,333, -   
252,14, -   ,138,7,1,1,3,3,39,3,-31,3
253,13, -   ,151,-1, -   , -   , -   , -   ,4,-1,-2,-14
254,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
255,14, -   ,144,28,2,-3,3, -   ,7,3,-509,6
256,11, -   ,59, -   , -   , -   , -   , -   ,-2, -   ,-84,-3
257,12,1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
258,14, -   ,131,-9, -   , -   , -   , -   ,-9,1,40,-1
259,14, -   ,134,-1, -   , -   , -   , -   ,3, -   ,-19, -   
260,13, -   ,106,8,3,1,3, -   ,-20,1,-29, -   
261,12, -   ,130,-13,1,-3,3, -   ,20,1,278,-2
262,13, -   ,88,9, -   , -   , -   , -   ,11, -   ,28,-2
263,13, -   ,187,47,4,2,3, -   ,28,1,44, -   
264,13, -   ,176,14, -   , -   , -   , -   ,15,4,-102, -   
265,14, -   ,86,8, -   , -   , -   , -   ,8,4, -   ,-4
266,12,1,70,35, -   , -   , -   , -   , -   , -   ,-26,30
267,13,1,147,1,2,2,3,3,24, -   ,-214,-1
268,14, -   ,89,56, -   , -   , -   , -   ,6,1,30,30
269,14, -   ,137,28, -   , -   , -   , -   ,49,-2,-34, -   
270,13, -   ,39,-41,2,2,3,3,66,-1,-10,-109
271,12, -   ,6,-36, -   , -   , -   , -   ,-3, -   , -   ,5
272,14, -   , -   , -   , -   , -   , -   , -   ,4, -   , -   ,31
273,14, -   ,138,15,1,1,3,3,34,6,-835,9
274,14, -   ,128,-3, -   ,-1, -   ,-3,-39, -   ,105, -   
275,10, -   ,177,19, -   ,-1, -   ,-3,18, -   ,43, -   
276,14, -   ,140, -   , -   , -   , -   , -   ,-50, -   ,-104, -   
277,5, -   ,112,3, -   ,-2, -   ,-3,36,-2,"1,490.00", -   
278,13, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,31
279,12, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-8,31
280,14, -   ,68,-10,6,6,3,3,48, -   ,-681,3
281,14, -   ,130, -   , -   , -   , -   , -   ,4, -   ,"-1,603.00",3
282,14, -   ,145,-11,3,-7,3, -   ,-25,-1,-244,-1
283,12,1,77,-5,2,1,3, -   ,-1,-5,1,5
284,14, -   ,116,-8, -   , -   , -   , -   ,1,2,20,-8
285,18,1,155,-13, -   , -   , -   , -   ,-76,-3,63, -   
286,14, -   ,136,105,3,2,3, -   ,342, -   , -   ,-1
287,13, -   ,18,-1, -   , -   , -   , -   , -   , -   ,-2,30
288,13, -   ,35,-20,1,1,3,3,69, -   ,16,-1
289,13, -   ,41,-29,4,3,3, -   ,12,-1,5,-2
290,13, -   ,165, -   , -   , -   , -   , -   ,6,-1,"5,322.00", -   
291,12, -   ,180,12,3,-5,3,-0.1,-34,-2,57, -   
292,14, -   ,61,-49, -   , -   , -   , -   ,-15,-5,21,-4
293,13, -   ,143,-4, -   , -   , -   , -   ,-1, -   ,-55,20
294,13,1,78,2, -   , -   , -   , -   ,16,2,1,-11
295,14, -   ,32,-44,2,2,3,3, -   ,-3,-3,-3
296,14, -   ,85,-17,4,-5,3,0.1,83, -   ,3, -   
297,11, -   ,231, -   ,1,-2,3,0.3,48,-1,-321, -   
298,14, -   ,148,19, -   , -   , -   , -   ,4, -   ,-27,20
299,14,1,14,-101, -   , -   , -   , -   ,-4,-1,-16,9
300,12,1, -   ,-8, -   ,-1, -   ,-3,-3, -   ,8,-7
301,13, -   ,40,12, -   , -   , -   , -   ,20, -   ,-1,17
302,8, -   ,16,-2, -   , -   , -   , -   ,4, -   ,5,-32
303,13, -   ,94,-35, -   ,-1, -   ,-3,-13, -   ,139,3
304,10, -   ,34,10, -   , -   , -   , -   , -   , -   ,-128,31
305,12, -   , -   ,-35, -   , -   , -   , -   ,-12, -   ,"1,384.00",7
306,13, -   ,69,6, -   , -   , -   , -   ,2, -   ,16,31
307,19, -   ,61,61, -   ,-1, -   ,-3,24, -   , -   ,-7
308,14, -   ,143,-2, -   ,-1, -   ,-3,9,1,"2,260.00", -   
309,11, -   ,101,-50, -   , -   , -   , -   ,-46,-2,154,-5
310,12, -   ,142,-25,1,-2,3, -   ,-25,-4,-2,-2
311,14, -   ,120, -   , -   , -   , -   , -   ,-2, -   ,-66,-2
312,13, -   ,61,1, -   , -   , -   , -   ,2, -   ,-44,30
313,14, -   ,61,26, -   , -   , -   , -   , -   , -   ,-10,31
314,13, -   ,118,-12, -   ,-1, -   ,-3,-41, -   ,-1,2
315,6, -   ,20,-1, -   , -   , -   , -   ,-2, -   ,15,4
316,13, -   ,76,-4, -   , -   , -   , -   ,5,-1,1, -   
317,12,1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
318,14, -   , -   ,-42, -   , -   , -   , -   ,-14, -   ,14,-1
319,12,1, -   ,-16, -   , -   , -   , -   ,-4, -   ,12,-2
320,13, -   ,42,-17, -   , -   , -   , -   ,6, -   ,-15,9
321,14, -   ,105,-57, -   , -   , -   , -   ,-41,-4,37,-1
322,14, -   ,99,-10, -   , -   , -   , -   ,3, -   ,-974,9
323,12, -   ,122,-2, -   , -   , -   , -   ,-16,-1,18,-4
324,12,1,105,-36, -   ,-1, -   ,-3,1,-1,66,-6
325,14, -   ,156,-4, -   , -   , -   , -   ,28,-2,-169, -   
326,9, -   ,75,-1, -   , -   , -   , -   ,67, -   ,22,12
327,5, -   ,118,6, -   ,-1, -   ,-3,-29,5,191,-5
328,14, -   ,56,-4, -   , -   , -   , -   ,-2, -   ,-786,4
329,14, -   ,177,-6,2,1,3, -   ,1,-14,"-8,839.00", -   
330,13, -   ,185,-37,2,2,2.5,2.5,8,-2,12, -   
331,9, -   ,83,9,2,1,3, -   ,18, -   ,-200,2
332,12, -   ,78,11, -   , -   , -   , -   ,14, -   ,-420,4
333,13, -   ,173,44, -   , -   , -   , -   ,19,1,-31,-7
334,12, -   ,58,-1, -   , -   , -   , -   ,2, -   ,33,31
335,12,1, -   ,-64, -   , -   , -   , -   ,-7,-3,-19,19
336,9, -   ,87,-21, -   ,-1, -   ,-3,15,2,48,-12
337,13, -   ,127,-11,1, -   ,3, -   ,4, -   ,"-7,323.00",1
338,12, -   ,186,2,1, -   ,3, -   ,85, -   ,34,-1
339,13,1,54,19, -   , -   , -   , -   , -   ,-1,426,31
340,14, -   ,129,-13, -   , -   , -   , -   ,-11,-2,165,-2
341,13, -   ,73,-10, -   , -   , -   , -   ,-3, -   ,156,-9
342,13, -   ,82,-38, -   , -   , -   , -   , -   ,-1,10,6
343,14, -   ,65,40,1,1,3,3,10, -   ,-313,3
344,14, -   ,58,-52, -   ,-1, -   ,-3,-32, -   ,55,1
345,12,1,58,41, -   , -   , -   , -   ,31,5,8,9
346,14, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
347,14, -   ,143,5, -   , -   , -   , -   ,23,1,-196, -   
348,14, -   ,25,24, -   , -   , -   , -   ,2, -   , -   ,31
349,14, -   ,173,3,3, -   ,3,0.3,8, -   ,754, -   
350,14, -   ,3, -   ,1,1,3,3,3, -   , -   ,-31
351,13, -   ,79,-5, -   ,-2, -   ,-3,2, -   ,65, -   
352,14, -   ,78,-33, -   ,-2, -   ,-3,-17,-5,-703,10
353,14, -   ,95,3, -   , -   , -   , -   ,12, -   ,76,-2
354,13, -   ,139,-29, -   , -   , -   , -   ,-4,1,244,-1
355,12, -   ,88, -   , -   , -   , -   , -   ,-4, -   ,-146,2
356,13, -   ,167,3,1,1,2,2,43,2,-227, -   
357,12,1,203,25,7,6,2.9,-0.1,88,-2,"-28,322.00",3
358,11, -   ,166,10,3,2,3, -   ,73,1,30, -   
359,11, -   ,158,-15,5,-1,3, -   ,-34,1,137, -   
360,11, -   ,70,1, -   , -   , -   , -   ,2, -   ,-43,5
361,13, -   ,125,23, -   , -   , -   , -   ,3, -   ,-127,6
362,13, -   ,111,-2, -   ,-1, -   ,-3,2, -   , -   , -   
363,12,1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
364,11, -   ,166,9, -   , -   , -   , -   ,-8,-1,-933,3
365,12, -   ,45,-67, -   , -   , -   , -   ,-4,-1,1,-5
366,13,1,135,-39, -   , -   , -   , -   ,-12,-1,39, -   
367,10, -   ,119,-2, -   , -   , -   , -   ,11,-6,-18,-2
368,12, -   ,117,5, -   , -   , -   , -   ,14,-4,-1,5
369,12,1,14,-42, -   , -   , -   , -   ,3, -   ,4,-34
370,12, -   ,96,-48, -   ,-5, -   ,-3,-7, -   ,-12,3
371,12,1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
372,13, -   ,136,14,3,2,3, -   ,69,-1,-107,-1
373,13, -   ,163,-3,10,8,3, -   ,174,11,-57,-2
374,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
375,10, -   ,177,-15, -   , -   , -   , -   , -   , -   ,209,-3
376,3, -   , -   , -   , -   , -   , -   , -   ,12, -   , -   , -   
377,12, -   ,135,-13, -   ,-1, -   ,-3,-9,-2,-2,12
378,5, -   ,61,-3, -   , -   , -   , -   ,-1,-12,12,7
379,10, -   ,200,-13,3,1,3, -   ,25,-2,"2,388.00", -   
